timestamp,mid_price,best_bid,best_ask,bids,asks,curr_delta,max_delta,min_delta,bid_vpoc,ask_vpoc,trades,trades_vol
1727788679.9373229,2615.13,2614.98,2615.28,500,500,0,0,0,"(2551.0, 311.0)","(2750.0, 246.668)",0,0.0
1727788710.692942,2614.17,2613.97,2614.37,500,500,0,0,0,"(2551.0, 311.0)","(2750.0, 246.668)",0,0.0
1727788741.182959,2613.975,2613.97,2613.98,500,500,0,0,0,"(2551.0, 311.0)","(2677.2000000000003, 228.218)",0,0.0
1727788771.7676136,2613.975,2613.97,2613.98,500,500,0,0,0,"(2551.0, 311.0)","(2750.0, 246.668)",0,0.0
1727788802.2239275,2612.24,2612.07,2612.41,500,500,"(-1.0, 1727788788.601233)","(-0.04513676008838237, 1727788788.601233)","(-1.0, 1727788788.601233)","(2551.0, 311.0)","(2750.0, 246.668)",3,0.42995000000000005
1727788832.847087,2612.0200000000004,2612.01,2612.03,500,500,0,0,0,"(2551.0, 311.0)","(2750.0, 246.668)",0,0.0
1727788863.258871,2612.0150000000003,2612.01,2612.02,500,500,0,0,0,"(2551.0, 311.0)","(2750.0, 246.668)",0,0.0
1727788893.906221,2613.23,2613.01,2613.45,500,500,0,0,0,"(2560.6000000000004, 228.568)","(2750.0, 246.668)",0,0.0
1727788924.3515525,2615.16,2614.87,2615.45,500,500,0,0,0,"(2560.6000000000004, 228.568)","(2679.8, 228.22)",0,0.0
1727788954.7899287,2615.99,2615.71,2616.27,500,500,"(1.0, 1727788953.55663)","(1.0, 1727788953.55663)","(0.04679209099400173, 1727788952.165423)","(2560.6000000000004, 228.568)","(2679.8, 228.215)",3,0.0885421
1727788985.3099892,2614.34,2614.14,2614.54,500,500,0,0,0,"(2560.6000000000004, 228.568)","(2750.0, 246.668)",0,0.0
1727789015.8305662,2614.94,2614.78,2615.1,500,500,0,0,0,"(2560.6000000000004, 228.568)","(2640.8, 272.165)",0,0.0
1727789046.2982616,2613.9399999999996,2613.74,2614.14,500,500,0,0,0,"(2560.6000000000004, 228.568)","(2639.8, 213.989)",0,0.0
1727789076.818933,2612.555,2612.37,2612.74,500,500,"(1.0, 1727789048.365014)","(1.0, 1727789048.365014)","(1.0, 1727789048.365014)","(2551.0, 311.0)","(2676.4, 228.224)",1,0.01861648
1727789107.320862,2612.91,2612.71,2613.11,500,500,0,0,0,"(2560.6000000000004, 228.568)","(2676.2000000000003, 228.232)",0,0.0
1727789137.7427013,2612.0150000000003,2612.01,2612.02,500,500,0,0,0,"(2551.0, 311.0)","(2750.0, 246.668)",0,0.0
1727789168.25166,2613.0,2612.84,2613.16,500,500,0,0,0,"(2560.6000000000004, 228.568)","(2750.0, 246.668)",0,0.0
1727789198.6714437,2613.02,2612.83,2613.21,500,500,0,0,0,"(2560.6000000000004, 228.568)","(2750.0, 246.668)",0,0.0
1727789229.167676,2612.525,2612.28,2612.77,500,500,0,0,0,"(2551.0, 311.0)","(2750.0, 246.668)",0,0.0
1727789259.7255538,2612.0150000000003,2612.01,2612.02,500,500,0,0,0,"(2551.0, 311.0)","(2750.0, 246.668)",0,0.0
1727789290.2535658,2610.255,2610.25,2610.26,500,500,"(-1.0, 1727789271.260209)","(-1.0, 1727789271.260209)","(-1.0, 1727789271.260209)","(2551.0, 311.0)","(2674.4, 231.992)",1,1.46301898
1727789320.7537603,2610.6400000000003,2610.5,2610.78,500,500,0,0,0,"(2551.0, 311.0)","(2637.2000000000003, 212.447)",0,0.0
1727789351.3210611,2609.31,2609.06,2609.56,500,500,"(-1.0, 1727789347.409894)","(-1.0, 1727789347.409894)","(-1.0, 1727789347.409894)","(2551.0, 311.0)","(2750.0, 246.668)",1,0.1692876
1727789381.8864856,2609.5550000000003,2609.35,2609.76,500,500,"(-1.0, 1727789359.272582)","(-0.014493069395663865, 1727789353.136023)","(-1.0, 1727789359.272582)","(2551.0, 311.0)","(2674.0, 228.246)",10,17.24962416
1727789412.3363786,2611.31,2611.2,2611.42,500,500,0,0,0,"(2551.0, 311.0)","(2750.0, 246.668)",0,0.0
1727789442.807274,2610.5299999999997,2610.36,2610.7,500,500,0,0,0,"(2551.0, 311.0)","(2638.8, 219.29500000000002)",0,0.0
1727789473.249984,2609.915,2609.8,2610.03,500,500,0,0,0,"(2551.0, 311.0)","(2673.6000000000004, 228.242)",0,0.0
1727789503.7866743,2609.7799999999997,2609.57,2609.99,500,500,0,0,0,"(2551.0, 311.0)","(2750.0, 246.668)",0,0.0
1727789534.3773103,2610.375,2610.17,2610.58,500,500,0,0,0,"(2551.0, 311.0)","(2750.0, 246.668)",0,0.0
1727789564.8137438,2611.99,2611.71,2612.27,500,500,0,0,0,"(2551.0, 311.0)","(2750.0, 246.668)",0,0.0
1727789595.2999284,2608.74,2608.44,2609.04,500,500,0,0,0,"(2551.0, 311.0)","(2635.4, 259.181)",0,0.0
1727789625.7387722,2608.4449999999997,2608.44,2608.45,500,500,"(1.0, 1727789622.756481)","(1.0, 1727789622.756481)","(0.0022907522909196717, 1727789622.756481)","(2551.0, 311.0)","(2750.0, 246.668)",4,1.15007197
1727789656.2804475,2604.725,2604.52,2604.93,500,500,"(-1.0, 1727789639.515292)","(-0.024896318207199935, 1727789634.52295)","(-1.0, 1727789639.515292)","(2551.0, 311.0)","(2632.8, 258.166)",5,0.15447746
1727789686.8168306,2601.495,2601.49,2601.5,500,500,"(-1.0, 1727789681.439961)","(-0.35817370471761706, 1727789675.548191)","(-1.0, 1727789681.439961)","(2408.0, 251.353)","(2750.0, 246.668)",4,0.34802083
1727789717.4924843,2597.6850000000004,2597.34,2598.03,500,500,"(-0.8895540782377526, 1727789712.658736)","(-0.014797754417402283, 1727789701.630894)","(-0.9443303805842247, 1727789705.032506)","(2408.0, 251.353)","(2677.4, 228.343)",10,0.25679572
