timestamp,mid_price,best_bid,best_ask,bids,asks,curr_delta,max_delta,min_delta,bid_vpoc,ask_vpoc,trades,trades_vol
1727717843.0011172,2597.225,2597.22,2597.23,500,500,"(1.0, 1727717819.231976)","(1.0, 1727717819.231976)","(1.0, 1727717819.231976)","(2497.0, 1000.0)","(2598.4, 288.655)",1,0.00300319
1727717873.7397757,2597.225,2597.22,2597.23,500,500,0,0,0,"(2497.0, 1000.0)","(2597.2000000000003, 239.683)",0,0.0
1727717904.356996,2597.6949999999997,2597.69,2597.7,500,500,"(1.0, 1727717886.831662)","(1.0, 1727717886.831662)","(0.0013009504266441997, 1727717884.114299)","(2497.0, 1000.0)","(2625.8, 213.899)",3,0.65294571
1727717934.974419,2601.875,2601.87,2601.88,500,500,"(0.2968317478278221, 1727717925.071417)","(0.2968317478278221, 1727717925.071417)","(-0.3314774622334843, 1727717922.277776)","(2497.0, 1000.0)","(2606.0, 249.582)",14,1.9198819
1727717965.5844142,2601.875,2601.87,2601.88,500,500,0,0,0,"(2497.0, 1000.0)","(2628.2000000000003, 227.384)",0,0.0
1727717996.318888,2601.875,2601.87,2601.88,500,500,0,0,0,"(2497.0, 1000.0)","(2629.0, 213.93)",0,0.0
1727718026.9875398,2601.875,2601.87,2601.88,500,500,"(1.0, 1727718024.098672)","(1.0, 1727718024.098672)","(0.09084616302123226, 1727718024.098672)","(2497.0, 1000.0)","(2629.2000000000003, 212.085)",2,0.13305273
1727718057.5456152,2601.875,2601.87,2601.88,500,500,"(1.0, 1727718055.882591)","(1.0, 1727718055.882591)","(0.986067497926225, 1727718055.680754)","(2497.0, 1000.0)","(2604.0, 288.21299999999997)",2,0.5365095200000001
1727718088.1668677,2604.1949999999997,2604.19,2604.2,500,500,"(0.746689263535032, 1727718087.668102)","(0.8732684692446538, 1727718068.849139)","(0.001136762711125266, 1727718060.265681)","(2497.0, 1000.0)","(2604.2000000000003, 352.061)",18,5.2351206999999995
1727718119.0776293,2604.1949999999997,2604.19,2604.2,500,500,0,0,0,"(2497.0, 1000.0)","(2604.2000000000003, 242.03300000000002)",0,0.0
1727718149.642766,2604.1949999999997,2604.19,2604.2,500,500,"(0.8506542960738107, 1727718146.327492)","(0.8506542960738107, 1727718146.327492)","(-0.0746728519630946, 1727718120.123339)","(2497.0, 1000.0)","(2604.2000000000003, 420.225)",3,0.62017184
1727718180.3420856,2603.855,2603.85,2603.86,500,500,"(-1.0, 1727718174.570997)","(-1.0, 1727718174.570997)","(-1.0, 1727718174.570997)","(2497.0, 1000.0)","(2629.0, 213.328)",1,0.65
1727718211.0200953,2604.005,2604.0,2604.01,500,500,0,0,0,"(2497.0, 1000.0)","(2604.0, 428.442)",0,0.0
1727718242.079405,2604.005,2604.0,2604.01,500,500,"(1.0, 1727718238.556095)","(1.0, 1727718238.556095)","(1.0, 1727718238.556095)","(2497.0, 1000.0)","(2604.0, 492.06899999999996)",1,0.43014
1727718272.7578452,2602.1549999999997,2602.15,2602.16,500,500,0,0,0,"(2497.0, 1000.0)","(2626.8, 211.929)",0,0.0
1727718304.6266181,2602.1549999999997,2602.15,2602.16,500,500,"(0.3170151648804335, 1727718303.374151)","(0.3170151648804335, 1727718303.374151)","(-0.30874539553795033, 1727718295.876182)","(2497.0, 1000.0)","(2603.4, 294.291)",4,1.1475797699999999
1727718335.3440487,2602.925,2602.92,2602.93,500,500,0,0,0,"(2497.0, 1000.0)","(2603.0, 358.923)",0,0.0
1727718366.0522554,2602.925,2602.92,2602.93,500,500,"(1.0, 1727718360.4086)","(1.0, 1727718360.4086)","(1.0, 1727718360.4086)","(2497.0, 1000.0)","(2628.2000000000003, 211.911)",1,0.39169016
1727718396.6633952,2603.995,2603.99,2604.0,500,500,"(-0.17059609211262172, 1727718395.890047)","(-0.17059609211262172, 1727718395.890047)","(-0.5852980460563109, 1727718376.54727)","(2497.0, 1000.0)","(2628.8, 212.442)",2,1.11054531
1727718427.3047128,2603.995,2603.99,2604.0,500,500,0,0,0,"(2497.0, 1000.0)","(2629.6000000000004, 212.539)",0,0.0
1727718457.8277333,2603.9049999999997,2603.9,2603.91,500,500,"(0.8250304338864037, 1727718453.116997)","(0.9125152169432018, 1727718429.680091)","(0.20150353306828941, 1727718429.680091)","(2497.0, 1000.0)","(2604.0, 438.095)",4,0.19580147999999997
1727718488.3264382,2603.9049999999997,2603.9,2603.91,500,500,"(1.0, 1727718462.964837)","(1.0, 1727718462.964837)","(0.3202626941820201, 1727718461.031696)","(2497.0, 1000.0)","(2604.0, 399.06600000000003)",3,0.4962805
1727718518.9354484,2603.9049999999997,2603.9,2603.91,500,500,"(1.0, 1727718506.408281)","(1.0, 1727718506.408281)","(1.0, 1727718506.408281)","(2497.0, 1000.0)","(2604.0, 445.925)",1,0.30643223
1727718549.6523547,2603.9049999999997,2603.9,2603.91,500,500,"(1.0, 1727718534.662257)","(1.0, 1727718534.662257)","(1.0, 1727718534.662257)","(2497.0, 1000.0)","(2604.0, 352.938)",1,0.93145692
1727718580.2851927,2603.9049999999997,2603.9,2603.91,500,500,"(1.0, 1727718555.503257)","(1.0, 1727718555.503257)","(0.5415953005623627, 1727718555.503257)","(2497.0, 1000.0)","(2630.0, 267.64300000000003)",3,0.05225987
