timestamp,mid_price,best_bid,best_ask,bids,asks,curr_delta,max_delta,min_delta,bid_vpoc,ask_vpoc,trades,trades_vol
1727788194.8109763,2618.435,2618.43,2618.44,500,500,"(0.5938334162400677, 1727788193.256114)","(0.6836533468156941, 1727788191.261858)","(-0.11326336130433978, 1727788189.941538)","(2568.0, 1388.025)","(2660.2000000000003, 412.805)",5,0.41972866999999997
1727788225.321592,2618.435,2618.43,2618.44,500,500,"(-1.0, 1727788199.150144)","(-0.6769248453769545, 1727788197.592191)","(-1.0, 1727788199.150144)","(2568.0, 1388.025)","(2660.2000000000003, 412.805)",2,0.05637258
1727788255.9012003,2620.375,2620.37,2620.38,500,500,"(1.0, 1727788243.002242)","(1.0, 1727788243.002242)","(0.9860137888112284, 1727788240.675522)","(2568.0, 1388.025)","(2680.0, 415.69500000000005)",2,0.65921999
1727788286.4223666,2620.375,2620.37,2620.38,500,500,"(-1.0, 1727788274.827034)","(-0.20973440017485825, 1727788266.265758)","(-1.0, 1727788274.827034)","(2568.0, 1388.025)","(2660.2000000000003, 412.805)",4,20.11448764
1727788316.8839507,2620.375,2620.37,2620.38,500,500,"(-1.0, 1727788288.036343)","(-0.877989045, 1727788288.036343)","(-1.0, 1727788288.036343)","(2568.0, 1388.025)","(2620.4, 528.061)",2,8.0
1727788347.3876758,2620.375,2620.37,2620.38,500,500,0,0,0,"(2568.0, 1388.025)","(2620.4, 452.245)",0,0.0
1727788377.8230338,2620.315,2620.31,2620.32,500,500,"(-0.5991252454713608, 1727788371.680446)","(-0.5991252454713608, 1727788371.680446)","(-0.7995626227356804, 1727788366.132577)","(2568.0, 1388.025)","(2620.4, 681.051)",4,0.34923625999999997
1727788408.284111,2620.315,2620.31,2620.32,500,500,0,0,0,"(2568.0, 1388.025)","(2620.4, 682.073)",0,0.0
1727788438.7283702,2620.315,2620.31,2620.32,500,500,"(1.0, 1727788419.738799)","(1.0, 1727788419.738799)","(1.0, 1727788419.738799)","(2568.0, 1388.025)","(2620.4, 694.196)",1,0.00309122
1727788469.1791172,2618.435,2618.43,2618.44,500,500,"(-1.0, 1727788462.759024)","(-0.32294818052433877, 1727788441.434791)","(-1.0, 1727788462.759024)","(2568.0, 1388.025)","(2660.2000000000003, 412.805)",6,1.28581
1727788499.619544,2618.4049999999997,2618.4,2618.41,500,500,"(0.9625834087255827, 1727788498.133875)","(0.9625834087255827, 1727788498.133875)","(0.6606554411639924, 1727788481.316601)","(2568.0, 1388.025)","(2660.2000000000003, 412.805)",4,1.39985654
1727788530.1792884,2618.245,2618.24,2618.25,500,500,"(-0.8169140163408289, 1727788518.368479)","(0.09154299182958556, 1727788507.198709)","(-0.8169140163408289, 1727788518.368479)","(2568.0, 1388.025)","(2660.2000000000003, 412.805)",4,0.18951915
1727788560.6120617,2617.365,2617.36,2617.37,500,500,"(-1.0, 1727788554.302457)","(-0.0019311509547599544, 1727788554.302457)","(-1.0, 1727788554.302457)","(2568.0, 1388.025)","(2660.2000000000003, 412.805)",12,34.147309840000005
