{'timestamp': 1727788651.8964994, 'mid_price': 2615.135, 'best_bid': 2615.13, 'best_ask': 2615.14, 'bids': 500, 'asks': 500, 'curr_delta': (-1.0, 1727788646.491082), 'max_delta': (-0.003373876077531672, 1727788628.184582), 'min_delta': (-1.0, 1727788646.491082), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 4, 'trades_vol': 0.59279}
{'timestamp': 1727788682.4383173, 'mid_price': 2615.075, 'best_bid': 2615.07, 'best_ask': 2615.08, 'bids': 500, 'asks': 500, 'curr_delta': (-0.912683973409394, 1727788678.133067), 'max_delta': (-0.023771887480801796, 1727788662.08643), 'min_delta': (-0.912683973409394, 1727788678.133067), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 5, 'trades_vol': 0.43147268}
{'timestamp': 1727788712.9124253, 'mid_price': 2613.545, 'best_bid': 2613.54, 'best_ask': 2613.55, 'bids': 500, 'asks': 500, 'curr_delta': (-1.0, 1727788697.751354), 'max_delta': (-0.16896417986295015, 1727788697.751354), 'min_delta': (-1.0, 1727788697.751354), 'bid_vpoc': (2568.0, 1000.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 4, 'trades_vol': 0.05069104}
{'timestamp': 1727788743.34274, 'mid_price': 2613.545, 'best_bid': 2613.54, 'best_ask': 2613.55, 'bids': 500, 'asks': 500, 'curr_delta': (-1.0, 1727788738.397328), 'max_delta': (-0.08396475439446026, 1727788716.477911), 'min_delta': (-1.0, 1727788738.397328), 'bid_vpoc': (2568.0, 1000.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 4, 'trades_vol': 1.13096085}
{'timestamp': 1727788773.7955544, 'mid_price': 2613.3050000000003, 'best_bid': 2613.3, 'best_ask': 2613.31, 'bids': 500, 'asks': 500, 'curr_delta': (-1.0, 1727788768.256455), 'max_delta': (-0.5269894268224818, 1727788762.080287), 'min_delta': (-1.0, 1727788768.256455), 'bid_vpoc': (2568.0, 1000.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 2, 'trades_vol': 0.07188}
{'timestamp': 1727788804.2341616, 'mid_price': 2613.005, 'best_bid': 2613.0, 'best_ask': 2613.01, 'bids': 500, 'asks': 500, 'curr_delta': (-1.0, 1727788798.787764), 'max_delta': (-0.39296195070342704, 1727788780.327712), 'min_delta': (-1.0, 1727788798.787764), 'bid_vpoc': (2568.0, 1000.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 2, 'trades_vol': 0.7939700000000001}
{'timestamp': 1727788834.6844234, 'mid_price': 2612.5550000000003, 'best_bid': 2612.55, 'best_ask': 2612.56, 'bids': 500, 'asks': 500, 'curr_delta': (-0.9870118790557685, 1727788831.340131), 'max_delta': (0.006494060472115761, 1727788816.338585), 'min_delta': (-0.9870118790557685, 1727788831.340131), 'bid_vpoc': (2568.0, 1000.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 9, 'trades_vol': 0.90045204}
{'timestamp': 1727788865.2082129, 'mid_price': 2611.125, 'best_bid': 2611.12, 'best_ask': 2611.13, 'bids': 500, 'asks': 500, 'curr_delta': (-1.0, 1727788858.875113), 'max_delta': (-0.006437930519840703, 1727788835.834863), 'min_delta': (-1.0, 1727788858.875113), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 16, 'trades_vol': 0.83070794}
{'timestamp': 1727788895.6413705, 'mid_price': 2611.125, 'best_bid': 2611.12, 'best_ask': 2611.13, 'bids': 500, 'asks': 500, 'curr_delta': (-0.8172171997227479, 1727788888.563197), 'max_delta': (-0.006387367805606609, 1727788870.065924), 'min_delta': (-0.8791338585117129, 1727788886.671868), 'bid_vpoc': (2568.0, 1000.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 12, 'trades_vol': 5.38926222}
{'timestamp': 1727788926.0538058, 'mid_price': 2612.925, 'best_bid': 2612.92, 'best_ask': 2612.93, 'bids': 500, 'asks': 500, 'curr_delta': (1.0, 1727788924.313246), 'max_delta': (1.0, 1727788924.313246), 'min_delta': (0.08249168807806427, 1727788902.938573), 'bid_vpoc': (2568.0, 1000.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 5, 'trades_vol': 0.25893530000000003}
